Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1132891,-,-,-,37.53,-77.42,-5,35,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2020,1,1,0,30,2.4000000000000004,0,0,0,0,0.5,0,0,0,0,87.45,165.06,0.12,1009,0.9,282,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,30,1.8,0,0,0,0,0.30000000000000004,0,0,0,0,90.07000000000001,158.03,0.12,1009,0.9,279,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,2,30,1.4000000000000001,0,0,0,0,0.1,0,0,0,0,91.29,147.31,0.12,1009,0.9,275,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,3,30,1,0,0,0,0,0,0,0,0,0,92.84,135.62,0.12,1009,0.8,271,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,4,30,0.5,0,0,0,0,-0.2,0,0,0,0,95.24,123.74000000000001,0.12,1009,0.8,266,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,5,30,0.1,0,0,0,0,-0.30000000000000004,0,0,0,0,97.3,111.99000000000001,0.12,1010,0.8,263,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,6,30,0,0,0,0,0,-0.4,0,0,0,0,97.42,100.62,0.12,1010,0.8,262,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,7,30,1.5,10,101,11,0,-0.4,10,101,0,11,87.10000000000001,89.39,0.12,1011,0.8,266,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,8,30,4.7,44,590,147,0,0.1,44,590,0,147,71.87,79.97,0.12,1011,0.8,271,0.9,7.0090,5.3414,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,9,30,7.6000000000000005,60,779,306,0,0.1,60,779,0,306,59.04,71.60000000000001,0.12,1012,0.8,278,1.2000000000000002,15.4383,11.9297,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,10,30,9.4,66,873,433,0,-0.8,66,873,0,433,48.81,65.17,0.12,1012,0.7000000000000001,281,1.5,23.0664,17.9517,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,11,30,10.200000000000001,69,920,510,0,-1.5,69,920,0,510,44.01,61.34,0.12,1011,0.6000000000000001,278,1.6,27.8896,21.7656,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,12,30,10.8,69,928,524,0,-1.9000000000000001,69,928,0,524,41.07,60.620000000000005,0.12,1010,0.6000000000000001,278,1.7000000000000002,28.7823,22.4720,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,13,30,10.9,65,909,476,0,-2,65,909,0,476,40.42,63.13,0.12,1010,0.6000000000000001,278,1.6,25.7283,20.0550,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,14,30,10.600000000000001,57,859,372,0,-1.9000000000000001,57,859,0,372,41.62,68.49,0.12,1010,0.6000000000000001,278,1.3,19.2974,14.9704,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,15,30,8.5,46,745,225,0,-1,46,745,0,225,51.22,76.09,0.12,1011,0.6000000000000001,275,0.8,10.9029,8.3623,,,,,,,,,,,,,,,,,,,,,,
