Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1059376,-,-,-,26.69,-80.22,-5,4,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.1.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2018,1,1,0,30,18.900000000000002,0,0,0,0,14.5,0,0,0,0,75.68,176.09,0.14,1019,3.3000000000000003,93,0.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,1,30,18.6,0,0,0,0,14.5,0,0,0,0,77.05,164.67000000000002,0.14,1018,3.3000000000000003,115,0.7000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,2,30,18.3,0,0,0,0,14.600000000000001,0,0,0,0,79.02,151.34,0.14,1018,3.3000000000000003,142,1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,3,30,17.900000000000002,0,0,0,0,14.700000000000001,0,0,0,0,81.48,137.96,0.14,1018,3.3000000000000003,174,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,4,30,17.7,0,0,0,7,14.700000000000001,0,0,0,0,82.85000000000001,124.7,0.14,1018,3.2,200,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,5,30,17.6,0,0,0,4,14.9,0,0,0,0,84.04,111.66,0.14,1018,3.1,208,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,6,30,17.6,0,0,0,4,15,0,0,0,0,84.64,98.95,0.14,1019,3.1,207,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,7,30,18.5,25,185,36,4,15.100000000000001,22,48,86,25,80.83,86.55,0.14,1019,3,210,1.7000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
