Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242255,-,-,-,40.73,-74.06,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,8.6,0,0,0,6,7.9,0,0,0,0,95.04,161.18,0.1,1005,3.8000000000000003,219,3.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,9.4,0,0,0,7,8.6,0,0,0,0,94.57000000000001,154.04,0.1,1003,3.7,222,4,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,10.100000000000001,0,0,0,7,9.5,0,0,0,0,96.29,143.88,0.1,1002,3.2,226,3.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,10.700000000000001,0,0,0,4,10.100000000000001,0,0,0,0,96.22,132.75,0.1,1001,2.6,229,3.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,11.5,0,0,0,4,10.700000000000001,0,0,0,0,95.03,121.4,0.1,1000,2.1,232,4,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,12.3,0,0,0,4,11.700000000000001,0,0,0,0,96.29,110.19,0.1,1001,1.8,240,4.1000000000000005,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,12.600000000000001,0,0,0,7,12.100000000000001,0,0,0,0,96.99000000000001,99.38,0.1,1002,1.7000000000000002,253,4,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,12.5,13,126,15,4,11.9,8,33,57,9,96.42,88.88,0.1,1003,1.6,265,4,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
