Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83556,-,-,-,34.05,-118.26,-8,98,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2017,1,1,0,30,6,0,0,0,1,3,0,0,0,0,91.39,166.73,0.128,980,1.23,309,2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,1,30,6,0,0,0,1,3,0,0,0,0,91.88,156.77,0.128,980,1.4020000000000001,302.1,2.4000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,6,0,0,0,1,3,0,0,0,0,92.81,144.77,0.128,980,1.49,307.1,2.4000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,6,0,0,0,1,4,0,0,0,0,93.34,132.38,0.128,980,1.448,316.8,2.2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,6,0,0,0,1,3,0,0,0,0,92.48,120.01,0.128,980,1.327,326,2.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,5,0,0,0,1,3,0,0,0,0,98.8,107.89,0.128,980,1.198,336.6,2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,5,0,0,0,1,3,0,0,0,0,97.85000000000001,96.2,0.128,980,1.098,347.40000000000003,2.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,7,32,266,54,1,4,32,266,0,54,87.24,85.2,0.128,980,1.041,4.4,2.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
