Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1220384,-,-,-,40.21,-74.74,-5,22,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2016,1,1,0,30,2,0,0,0,8,1,0,0,0,0,94.37,161.85,0.116,1010,0.921,292.8,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,1,30,2,0,0,0,8,0,0,0,0,0,92.25,154.75,0.116,1010,0.91,294.8,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,2,30,2,0,0,0,8,0,0,0,0,0,96.87,144.51,0.116,1010,0.892,295.5,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,3,30,1,0,0,0,8,0,0,0,0,0,94.95,133.29,0.116,1010,0.876,294.90000000000003,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,4,30,1,0,0,0,8,0,0,0,0,0,93.06,121.86,0.116,1010,0.866,294,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,5,30,1,0,0,0,8,0,0,0,0,0,91.56,110.55,0.116,1010,0.862,294.8,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,6,30,1,0,0,0,8,0,0,0,0,0,90.72,99.65,0.116,1010,0.859,295.3,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,7,30,1,0,0,0,8,0,0,0,0,0,90.32000000000001,89.42,0.116,1010,0.847,294.3,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,8,30,2,51,504,137,8,0,66,147,4,91,90.56,80.22,0.116,1010,0.8300000000000001,288.90000000000003,2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,9,30,3,71,695,281,8,-1,124,209,4,187,80.21000000000001,72.48,0.116,1010,0.8130000000000001,290.3,2.4000000000000004,9.3576,7.2216,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,10,30,3,82,785,391,8,-1,168,171,0,236,70.53,66.78,0.116,1010,0.78,292.1,2.8000000000000003,12.4167,9.6495,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,11,30,4,85,828,452,8,-1,195,119,0,248,65.37,63.660000000000004,0.116,1010,0.75,288.2,3.1,13.3559,10.4068,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,12,30,5,86,827,454,8,-1,129,0,0,129,65.9,63.53,0.116,1010,0.744,280.7,3.3000000000000003,6.9535,5.4186,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,13,30,4,83,789,399,8,-1,61,0,4,61,66.1,66.42,0.116,1010,0.739,277.6,3.4000000000000004,3.2186,2.5021,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,14,30,4,76,693,291,8,-1,44,0,4,44,70.07000000000001,71.93,0.116,1010,0.725,278.40000000000003,3.3000000000000003,2.2131,1.7093,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,15,30,3,59,487,147,4,-2,59,487,4,147,73.71000000000001,79.52,0.116,1010,0.7030000000000001,280.90000000000003,3,7.0065,5.3423,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,16,30,2,13,76,14,1,-2,13,76,0,14,73.03,88.62,0.116,1010,0.664,285.3,2.7,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,17,30,1,0,0,0,1,-2,0,0,0,0,77.34,98.78,0.116,1010,0.601,291.3,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,18,30,0,0,0,0,4,-3,0,0,0,0,80.04,109.64,0.116,1010,0.533,296.7,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,19,30,0,0,0,0,1,-3,0,0,0,0,77.26,120.92,0.111,1010,0.487,298.8,2.2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,20,30,0,0,0,0,0,-3,0,0,0,0,75.76,132.36,0.111,1010,0.47200000000000003,297.7,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,21,30,0,0,0,0,0,-4,0,0,0,0,79.5,143.6,0.111,1010,0.481,297.2,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,22,30,-1,0,0,0,1,-4,0,0,0,0,77.71000000000001,153.95000000000002,0.111,1010,0.498,296.90000000000003,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,23,30,-1,0,0,0,1,-4,0,0,0,0,82.36,161.43,0.111,1010,0.527,293.90000000000003,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,0,30,-2,0,0,0,1,-4,0,0,0,0,81.71000000000001,161.8,0.111,1010,0.5650000000000001,290.7,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,1,30,-1,0,0,0,8,-4,0,0,0,0,81.31,154.76,0.111,1010,0.595,288.5,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,2,30,-1,0,0,0,1,-4,0,0,0,0,77.54,144.54,0.111,1010,0.605,291.90000000000003,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,3,30,-1,0,0,0,8,-4,0,0,0,0,79.95,133.34,0.111,1010,0.591,294.6,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,4,30,-2,0,0,0,0,-4,0,0,0,0,85.96000000000001,121.9,0.111,1010,0.5680000000000001,295.1,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,5,30,-2,0,0,0,4,-4,0,0,0,0,85.24,110.59,0.111,1010,0.558,295.6,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,6,30,-2,0,0,0,4,-4,0,0,0,0,84.14,99.68,0.111,1010,0.5720000000000001,293.6,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,7,30,-1,0,0,0,1,-4,0,0,0,0,77.26,89.44,0.111,1010,0.604,289.40000000000003,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,8,30,0,48,541,140,0,-4,48,541,0,140,73.65,80.22,0.111,1010,0.636,280,2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,9,30,1,67,726,286,0,-5,67,726,0,286,64.07000000000001,72.46000000000001,0.111,1010,0.648,278.90000000000003,2.3000000000000003,14.3143,11.0471,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,10,30,2,75,820,399,0,-5,75,820,0,399,58.160000000000004,66.73,0.111,1010,0.64,273.5,2.5,21.0010,16.3214,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,11,30,3,77,861,460,0,-4,77,861,0,460,55.910000000000004,63.59,0.111,1010,0.629,263.7,2.8000000000000003,24.7850,19.3132,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,12,30,4,76,868,464,0,-4,76,868,0,464,54.1,63.440000000000005,0.111,1010,0.616,259.7,3,25.0265,19.5036,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,13,30,4,72,837,409,0,-4,72,837,0,409,55.69,66.3,0.111,1010,0.603,260.2,3,21.6006,16.7942,,,,,,,,,,,,,,,,,,,,,,
