Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,665185,-,-,-,27.77,-98.22,-6,93,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,8.700000000000001,0,0,0,0,5.4,0,0,0,0,79.65,175.06,0.17,1007,0.7000000000000001,90,0.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,8,0,0,0,4,5.4,0,0,0,0,83.60000000000001,166.96,0.17,1007,0.7000000000000001,37,0.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,6.9,0,0,0,7,5.4,0,0,0,0,90.2,153.93,0.17,1007,0.8,29,0.9,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,5.6000000000000005,0,0,0,7,5.6000000000000005,0,0,0,0,99.79,140.66,0.17,1007,0.9,27,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,4.6000000000000005,0,0,0,7,4.6000000000000005,0,0,0,0,100,127.47,0.17,1007,1,24,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,4.9,0,0,0,0,4.9,0,0,0,0,100,114.47,0.17,1008,1.1,22,1.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,5.5,0,0,0,7,5.5,0,0,0,0,100,101.79,0.17,1009,1.2000000000000002,20,2.3000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,6.300000000000001,11,108,13,7,5.7,7,38,32,8,96.13,89.16,0.17,1010,1.3,21,3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,8.1,49,621,178,7,5.9,65,102,71,86,85.97,78.05,0.17,1010,1.4000000000000001,25,3.6,4.1147,3.1445,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,10.200000000000001,68,798,370,7,6.2,152,60,54,175,76.04,67.75,0.17,1011,1.6,28,3.9000000000000004,9.1348,7.0921,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,12.4,78,878,528,7,6.5,123,3,25,125,67.37,59.17,0.17,1010,1.7000000000000002,31,4,6.9244,5.4106,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,14.4,88,905,630,7,6.9,129,0,54,129,60.870000000000005,53.19,0.17,1009,1.8,36,4,7.3589,5.7650,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,15.700000000000001,96,900,666,7,7.300000000000001,80,0,39,80,57.47,50.74,0.17,1008,1.9000000000000001,41,3.9000000000000004,4.6089,3.6134,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,16.3,99,880,637,7,7.6000000000000005,102,4,4,104,56.26,52.33,0.17,1008,2,43,3.7,5.9541,4.6658,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,16.2,96,834,543,7,7.800000000000001,102,0,0,102,57.54,57.63,0.17,1008,2.1,45,3.5,5.6978,4.4556,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,15.4,87,745,393,7,8,65,0,0,65,61.27,65.74,0.17,1008,2.2,44,3,3.4478,2.6819,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,13.9,68,560,206,7,8.700000000000001,36,0,71,36,71.06,75.73,0.17,1008,2.4000000000000004,36,2.4000000000000004,1.7495,1.3427,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,13,25,158,34,4,9.4,5,10,86,6,78.99,86.83,0.17,1009,2.5,29,2.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,11.5,0,0,0,7,9,0,0,0,0,84.45,99.12,0.17,1010,2.9000000000000004,21,2.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,10.8,0,0,0,7,8.700000000000001,0,0,0,0,86.59,111.72,0.17,1011,3.1,19,3.2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,10,0,0,0,7,8.4,0,0,0,0,90.02,124.66,0.17,1011,3.3000000000000003,18,3.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,9.4,0,0,0,6,8.200000000000001,0,0,0,0,92.05,137.82,0.17,1010,3.4000000000000004,17,3.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,8.9,0,0,0,6,7.9,0,0,0,0,93.39,151.08,0.17,1010,3.6,14,3.2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,8.5,0,0,0,7,7.6000000000000005,0,0,0,0,93.95,164.21,0.17,1010,3.7,183,3.4000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,8.1,0,0,0,6,7.2,0,0,0,0,94.12,174.95000000000002,0.17,1010,3.7,355,3.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,7.6000000000000005,0,0,0,6,6.7,0,0,0,0,93.89,167.03,0.17,1010,3.6,355,4.1000000000000005,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,7.1000000000000005,0,0,0,6,6,0,0,0,0,93.02,154.01,0.17,1010,3.5,355,4.1000000000000005,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,6.7,0,0,0,7,5.5,0,0,0,0,91.96000000000001,140.74,0.17,1010,3.4000000000000004,352,4.1000000000000005,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,6.5,0,0,0,7,5.1000000000000005,0,0,0,0,90.78,127.55,0.17,1010,3.3000000000000003,352,4.1000000000000005,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,6.300000000000001,0,0,0,7,4.9,0,0,0,0,90.97,114.54,0.17,1010,3.3000000000000003,176,3.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,6.2,0,0,0,6,4.9,0,0,0,0,91.32000000000001,101.85000000000001,0.17,1010,3.3000000000000003,5,3.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,6.300000000000001,9,38,10,6,4.9,1,0,43,1,90.73,89.2,0.17,1010,3.5,11,4,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
