Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,677718,-,-,-,30.25,-97.74,-6,156,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2017,1,1,0,30,12,0,0,0,1,11,0,0,0,0,100,172.65,0.125,990,2.4290000000000003,334.3,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,1,30,12,0,0,0,8,11,0,0,0,0,100,165.64000000000001,0.125,990,2.424,0.8,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,11,0,0,0,8,10,0,0,0,0,97.59,153.27,0.125,990,2.391,7.9,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,10,0,0,0,6,9,0,0,0,0,98.81,140.36,0.125,990,2.319,11.8,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,9,0,0,0,6,9,0,0,0,0,100,127.44,0.125,990,2.234,15.4,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,8,0,0,0,8,8,0,0,0,0,100,114.69,0.125,990,2.183,15.100000000000001,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,8,0,0,0,8,7,0,0,0,0,96.22,102.27,0.125,990,2.185,5.4,1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,9,0,0,0,8,6,0,0,0,0,85.10000000000001,90.35000000000001,0.125,990,2.212,350.1,1.7000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,11,46,556,150,8,5,51,491,4,143,69.44,79.21000000000001,0.125,990,2.243,344.1,2.2,6.8173,5.2003,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,14,66,749,331,8,6,72,685,0,315,63.31,69.24,0.125,990,2.278,348.5,1.7000000000000002,16.2349,12.5838,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,30,17,77,836,482,1,7,77,836,0,482,56.7,61.03,0.125,990,2.2960000000000003,6.1000000000000005,1.2000000000000002,26.4092,20.6141,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,11,30,19,83,877,581,1,8,83,877,0,581,55.58,55.410000000000004,0.125,990,2.2960000000000003,46.6,1.1,32.8156,25.6863,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,12,30,20,85,891,619,0,10,85,891,0,619,55.97,53.19,0.125,990,2.2960000000000003,109.60000000000001,1.3,35.3115,27.6630,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,13,30,21,86,875,591,0,12,86,875,0,591,58.85,54.800000000000004,0.125,990,2.2960000000000003,154.5,1.6,33.4753,26.2090,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,14,30,22,83,829,499,0,13,83,829,0,499,63.440000000000005,59.93,0.125,990,2.273,184.10000000000002,1.9000000000000001,27.5217,21.4962,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,15,30,21,74,746,356,0,14,74,746,0,356,71.03,67.78,0.125,990,2.203,192.8,1.7000000000000002,18.5782,14.4234,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,16,30,19,56,558,177,1,16,56,558,0,177,89,77.52,0.125,990,2.108,182.60000000000002,1.1,8.4922,6.4961,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,17,30,16,13,96,15,0,15,13,96,0,15,98.31,88.5,0.125,990,2.035,160.3,1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,18,30,15,0,0,0,1,15,0,0,0,0,100,100.32000000000001,0.125,990,1.995,150.6,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,19,30,15,0,0,0,1,14,0,0,0,0,100,112.67,0.125,990,1.955,145.5,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,20,30,14,0,0,0,1,14,0,0,0,0,100,125.38000000000001,0.125,990,1.9080000000000001,144,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,21,30,14,0,0,0,1,13,0,0,0,0,100,138.28,0.125,990,1.866,151.6,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,22,30,14,0,0,0,1,13,0,0,0,0,100,151.21,0.125,990,1.835,163.5,1.8,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,23,30,14,0,0,0,1,13,0,0,0,0,100,163.73,0.125,990,1.865,167.5,1.9000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,0,30,14,0,0,0,1,13,0,0,0,0,100,172.55,0.125,990,2.045,163.5,2.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,1,30,15,0,0,0,1,14,0,0,0,0,100,165.68,0.125,990,2.445,157.8,2.4000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,2,30,15,0,0,0,1,15,0,0,0,0,100,153.34,0.125,990,3.048,161,2.3000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,3,30,15,0,0,0,7,15,0,0,0,0,100,140.43,0.125,990,3.63,182.3,1.8,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,4,30,16,0,0,0,8,15,0,0,0,0,100,127.51,0.125,990,3.842,206,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,5,30,16,0,0,0,6,15,0,0,0,0,100,114.76,0.125,990,3.49,218.9,2.2,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,6,30,15,0,0,0,4,14,0,0,0,0,100,102.32000000000001,0.125,990,2.7600000000000002,253.20000000000002,2.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,7,30,14,0,0,0,1,14,0,0,0,0,100,90.39,0.125,990,2.021,289.40000000000003,3.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,8,30,14,48,559,152,0,13,48,559,0,152,99.75,79.23,0.125,990,1.47,302.8,4.3,7.2462,5.5273,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,9,30,16,59,813,347,0,12,59,813,0,347,81.98,69.24,0.125,990,1.172,303,4.800000000000001,17.8842,13.8622,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,10,30,19,62,918,507,0,10,62,918,0,507,62.51,61.01,0.125,990,1.055,304.90000000000003,5.2,27.7824,21.6862,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,11,30,20,64,964,612,0,9,64,964,0,612,50.47,55.35,0.125,990,1,305,5,34.5763,27.0651,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,12,30,21,64,979,653,0,9,64,979,0,653,46.64,53.1,0.125,990,0.975,299.90000000000003,4.6000000000000005,37.2653,29.1945,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,13,30,22,64,971,625,0,8,64,971,0,625,45.980000000000004,54.69,0.125,990,0.96,295.1,4.1000000000000005,35.4189,27.7319,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,14,30,22,60,939,532,0,8,60,939,0,532,45.08,59.800000000000004,0.125,990,0.967,292.3,3.4000000000000004,29.3640,22.9369,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,15,30,21,54,867,383,0,8,54,867,0,383,48.43,67.64,0.125,990,1,288.8,2.2,20.0104,15.5376,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,16,30,18,42,710,197,1,12,42,710,0,197,71.06,77.37,0.125,990,1.039,282.90000000000003,1.2000000000000002,9.4603,7.2386,,,,,,,,,,,,,,,,,,,,,,
